,pos,contig_id,proteins,origin,order,family,genus
637,637,Escherichia~phage~slur14,272,RefSeq-85,Caudovirales,Myoviridae,
638,638,Escherichia~phage~slur16,206,RefSeq-85,Caudovirales,Myoviridae,
639,639,Escherichia~phage~vB_EcoM-UFV13,268,RefSeq-85,,,
640,640,Escherichia~phage~vB_EcoM-VpaE1,132,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
641,641,Escherichia~phage~vB_EcoM-ep3,51,RefSeq-85,Caudovirales,Myoviridae,Cvm10virus
642,642,Escherichia~phage~vB_EcoM_112,279,RefSeq-85,Caudovirales,Myoviridae,T4virus
643,643,Escherichia~phage~vB_EcoM_ACG-C40,282,RefSeq-85,Caudovirales,Myoviridae,T4virus
644,644,Escherichia~phage~vB_EcoM_AYO145A,131,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
645,645,Escherichia~phage~vB_EcoM_Alf5,133,RefSeq-85,,,
646,646,Escherichia~phage~vB_EcoM_ECO1230-10,56,RefSeq-85,Caudovirales,Myoviridae,Cvm10virus
647,647,Escherichia~phage~vB_EcoM_JS09,273,RefSeq-85,Caudovirales,Myoviridae,Rb69virus
648,648,Escherichia~phage~vB_EcoM_PhAPEC2,254,RefSeq-85,Caudovirales,Myoviridae,
649,649,Escherichia~phage~vB_EcoM_VR20,286,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
650,650,Escherichia~phage~vB_EcoM_VR25,293,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
651,651,Escherichia~phage~vB_EcoM_VR26,291,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
652,652,Escherichia~phage~vB_EcoM_VR7,293,RefSeq-85,Caudovirales,Myoviridae,Sp18virus
653,653,Escherichia~phage~vB_EcoP_24B,88,RefSeq-85,Caudovirales,Podoviridae,Nona33virus
654,654,Escherichia~phage~vB_EcoP_G7C,79,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
655,655,Escherichia~phage~vB_EcoP_GA2A,56,RefSeq-85,,,
656,656,Escherichia~phage~vB_EcoP_PhAPEC5,83,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
657,657,Escherichia~phage~vB_EcoP_PhAPEC7,83,RefSeq-85,Caudovirales,Podoviridae,G7cvirus
658,658,Escherichia~phage~vB_EcoP_SU10,125,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
659,659,Escherichia~phage~vB_EcoS_AHP42,76,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
660,660,Escherichia~phage~vB_EcoS_AHS24,81,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
661,661,Escherichia~phage~vB_EcoS_AKS96,74,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
662,662,Escherichia~phage~vB_EcoS_FFH1,156,RefSeq-85,Caudovirales,Siphoviridae,T5virus
663,663,Escherichia~phage~vB_Eco_ACG-M12,78,RefSeq-85,Caudovirales,Siphoviridae,Rtpvirus
664,664,Escherichia~phage~wV7,273,RefSeq-85,Caudovirales,Myoviridae,
665,665,Escherichia~phage~wV8,140,RefSeq-85,Caudovirales,Myoviridae,Felixo1virus
666,666,Escherichia~virus~186,46,RefSeq-85,Caudovirales,Myoviridae,P2virus
667,667,Escherichia~virus~AKFV33,160,RefSeq-85,Caudovirales,Siphoviridae,T5virus
668,668,Escherichia~virus~BZ13,4,RefSeq-85,,Leviviridae,Levivirus
669,669,Escherichia~virus~CBA120,204,RefSeq-85,Caudovirales,Ackermannviridae,Cba120virus
670,670,Escherichia~virus~DT57C,133,RefSeq-85,Caudovirales,Siphoviridae,T5virus
671,671,Escherichia~virus~EPS7,170,RefSeq-85,Caudovirales,Siphoviridae,T5virus
672,672,Escherichia~virus~FI,4,RefSeq-85,,Leviviridae,Allolevivirus
673,673,Escherichia~virus~HK022,35,RefSeq-85,Caudovirales,Siphoviridae,HK97virus
674,674,Escherichia~virus~HK97,61,RefSeq-85,Caudovirales,Siphoviridae,HK97virus
675,675,Escherichia~virus~I22,9,RefSeq-85,,Inoviridae,Lineavirus
676,676,Escherichia~virus~JL1,60,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
677,677,Escherichia~virus~K1-5,52,RefSeq-85,Caudovirales,Podoviridae,Sp6virus
678,678,Escherichia~virus~K1E,62,RefSeq-85,Caudovirales,Podoviridae,Sp6virus
679,679,Escherichia~virus~KP26,82,RefSeq-85,Caudovirales,Siphoviridae,Rogue1virus
680,680,Escherichia~virus~Lambda,74,RefSeq-85,Caudovirales,Siphoviridae,Lambdavirus
681,681,Escherichia~virus~M13,10,RefSeq-85,,Inoviridae,Inovirus
682,682,Escherichia~virus~MS2,4,RefSeq-85,,Leviviridae,Levivirus
683,683,Escherichia~virus~Mu,55,RefSeq-85,Caudovirales,Myoviridae,Muvirus
684,684,Escherichia~virus~N15,60,RefSeq-85,Caudovirales,Siphoviridae,N15virus
685,685,Escherichia~virus~P1,110,RefSeq-85,Caudovirales,Myoviridae,P1virus
686,686,Escherichia~virus~P2,43,RefSeq-85,Caudovirales,Myoviridae,P2virus
687,687,Escherichia~virus~Qbeta,4,RefSeq-85,,Leviviridae,Allolevivirus
688,688,Escherichia~virus~Rtp,75,RefSeq-85,Caudovirales,Siphoviridae,Rtpvirus
689,689,Escherichia~virus~SSL2009a,67,RefSeq-85,Caudovirales,Siphoviridae,Hk578virus
690,690,Escherichia~virus~T1,78,RefSeq-85,Caudovirales,Siphoviridae,T1virus
691,691,Escherichia~virus~T5,163,RefSeq-85,Caudovirales,Siphoviridae,T5virus
692,692,Escherichia~virus~TLS,87,RefSeq-85,Caudovirales,Siphoviridae,Tlsvirus
693,693,Escherichia~virus~phiEco32,128,RefSeq-85,Caudovirales,Podoviridae,Phieco32virus
694,694,Escherichia~virus~phiK,10,RefSeq-85,,Microviridae,Alpha3microvirus
695,695,Flavobacterium~phage~11b,65,RefSeq-85,Caudovirales,Siphoviridae,
696,696,Flavobacterium~phage~1H,48,RefSeq-85,,,
697,697,Flavobacterium~phage~2A,61,RefSeq-85,,,
698,698,Flavobacterium~phage~6H,63,RefSeq-85,,,
699,699,Flavobacterium~phage~FCL-2,74,RefSeq-85,Caudovirales,Myoviridae,
700,700,Flavobacterium~phage~Fpv1,80,RefSeq-85,,,
701,701,Flavobacterium~phage~Fpv10,58,RefSeq-85,,,
702,702,Flavobacterium~phage~Fpv11,58,RefSeq-85,,,
703,703,Flavobacterium~phage~Fpv2,80,RefSeq-85,,,
704,704,Flavobacterium~phage~Fpv20,82,RefSeq-85,,,
705,705,Flavobacterium~phage~Fpv3,79,RefSeq-85,,,
706,706,Flavobacterium~phage~Fpv5,58,RefSeq-85,,,
707,707,Flavobacterium~phage~Fpv6,58,RefSeq-85,,,
708,708,Flavobacterium~phage~Fpv7,58,RefSeq-85,,,
709,709,Flavobacterium~phage~Fpv8,58,RefSeq-85,,,
710,710,Geobacillus~phage~GBK2,62,RefSeq-85,Caudovirales,Siphoviridae,
711,711,Geobacillus~phage~GBSV1,54,RefSeq-85,Caudovirales,Myoviridae,Svunavirus
712,712,Geobacillus~virus~E2,71,RefSeq-85,,,
713,713,Geobacillus~virus~E3,201,RefSeq-85,Caudovirales,Siphoviridae,
714,714,Gokushovirinae~Bog1183_53,5,RefSeq-85,,Microviridae,
715,715,Gokushovirinae~Bog5712_52,6,RefSeq-85,,Microviridae,
716,716,Gokushovirinae~Bog8989_22,6,RefSeq-85,,Microviridae,
717,717,Gokushovirinae~Fen672_31,7,RefSeq-85,,Microviridae,
718,718,Gokushovirinae~Fen7875_21,6,RefSeq-85,,Microviridae,
719,719,Gokushovirinae~GAIR4,1,RefSeq-85,,Microviridae,
720,720,Gokushovirinae~GNX3R,1,RefSeq-85,,Microviridae,
721,721,Gordonia~phage~Bachita,182,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
722,722,Gordonia~phage~Bantam,168,RefSeq-85,,,
723,723,Gordonia~phage~BaxterFox,86,RefSeq-85,Caudovirales,Siphoviridae,Baxtervirus
724,724,Gordonia~phage~BetterKatz,75,RefSeq-85,,,
725,725,Gordonia~phage~Blueberry,86,RefSeq-85,,,
726,726,Gordonia~phage~Bowser,67,RefSeq-85,,,
727,727,Gordonia~phage~BritBrat,98,RefSeq-85,,,
728,728,Gordonia~phage~CaptainKirk2,79,RefSeq-85,,,
729,729,Gordonia~phage~CarolAnn,80,RefSeq-85,,,
730,730,Gordonia~phage~ClubL,179,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
731,731,Gordonia~phage~Cozz,68,RefSeq-85,,,
732,732,Gordonia~phage~Cucurbita,178,RefSeq-85,,,
733,733,Gordonia~phage~Demosthenes,95,RefSeq-85,Caudovirales,Siphoviridae,Demosthenesvirus
734,734,Gordonia~phage~Emalyn,67,RefSeq-85,,,
735,735,Gordonia~phage~Eyre,74,RefSeq-85,,,
736,736,Gordonia~phage~GAL1,82,RefSeq-85,,,
737,737,Gordonia~phage~GMA1,68,RefSeq-85,,,
738,738,Gordonia~phage~GMA3,104,RefSeq-85,Caudovirales,Podoviridae,
739,739,Gordonia~phage~GMA4,68,RefSeq-85,,,
740,740,Gordonia~phage~GMA5,28,RefSeq-85,,,
741,741,Gordonia~phage~GMA6,115,RefSeq-85,,,
742,742,Gordonia~phage~GMA7,101,RefSeq-85,Caudovirales,Podoviridae,
743,743,Gordonia~phage~GRU1,94,RefSeq-85,Caudovirales,Siphoviridae,
744,744,Gordonia~phage~GRU3,26,RefSeq-85,,,
745,745,Gordonia~phage~GTE2,57,RefSeq-85,Caudovirales,Siphoviridae,
746,746,Gordonia~phage~GTE5,92,RefSeq-85,Caudovirales,Siphoviridae,
747,747,Gordonia~phage~GTE6,86,RefSeq-85,Caudovirales,Podoviridae,
748,748,Gordonia~phage~GTE7,103,RefSeq-85,Caudovirales,Siphoviridae,
749,749,Gordonia~phage~GTE8,94,RefSeq-85,Caudovirales,Podoviridae,
750,750,Gordonia~phage~Ghobes,59,RefSeq-85,,,
751,751,Gordonia~phage~Gmala1,90,RefSeq-85,Caudovirales,Siphoviridae,
752,752,Gordonia~phage~GordDuk1,97,RefSeq-85,Caudovirales,Siphoviridae,
753,753,Gordonia~phage~GordTnk2,98,RefSeq-85,Caudovirales,Siphoviridae,Gordtnkvirus
754,754,Gordonia~phage~Gsput1,71,RefSeq-85,,,
755,755,Gordonia~phage~Guacamole,78,RefSeq-85,,,
756,756,Gordonia~phage~Hedwig,70,RefSeq-85,,,
757,757,Gordonia~phage~Hotorobo,108,RefSeq-85,Caudovirales,Siphoviridae,Woesvirus
758,758,Gordonia~phage~JSwag,101,RefSeq-85,,,
759,759,Gordonia~phage~Jumbo,102,RefSeq-85,,,
760,760,Gordonia~phage~KatherineG,98,RefSeq-85,,,
761,761,Gordonia~phage~Kita,80,RefSeq-85,Caudovirales,Siphoviridae,Nymphadoravirus
762,762,Gordonia~phage~Kvothe,99,RefSeq-85,Caudovirales,Siphoviridae,Demosthenesvirus
763,763,Gordonia~phage~Lucky10,70,RefSeq-85,,,
764,764,Gordonia~phage~McGonagall,27,RefSeq-85,,,
765,765,Gordonia~phage~Monty,105,RefSeq-85,Caudovirales,Siphoviridae,Woesvirus
766,766,Gordonia~phage~Nyceirae,60,RefSeq-85,,,
767,767,Gordonia~phage~Nymphadora,84,RefSeq-85,Caudovirales,Siphoviridae,Nymphadoravirus
768,768,Gordonia~phage~Obliviate,80,RefSeq-85,,,
769,769,Gordonia~phage~OneUp,163,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
770,770,Gordonia~phage~Orchid,114,RefSeq-85,,,
771,771,Gordonia~phage~Phinally,87,RefSeq-85,,,
772,772,Gordonia~phage~Remus,98,RefSeq-85,,,
773,773,Gordonia~phage~Rosalind,99,RefSeq-85,,,
774,774,Gordonia~phage~Schwabeltier,71,RefSeq-85,,,
775,775,Gordonia~phage~Smoothie,179,RefSeq-85,Caudovirales,Siphoviridae,Smoothievirus
776,776,Gordonia~phage~SoilAssassin,74,RefSeq-85,,,
777,777,Gordonia~phage~Soups,99,RefSeq-85,Caudovirales,Siphoviridae,Soupsvirus
778,778,Gordonia~phage~Splinter,79,RefSeq-85,Caudovirales,Siphoviridae,Vendettavirus
779,779,Gordonia~phage~Terapin,97,RefSeq-85,,,
780,780,Gordonia~phage~Twister6,93,RefSeq-85,Caudovirales,Siphoviridae,Wizardvirus
781,781,Gordonia~phage~UmaThurman,83,RefSeq-85,,,
782,782,Gordonia~phage~Utz,71,RefSeq-85,,,
783,783,Gordonia~phage~Vendetta,79,RefSeq-85,Caudovirales,Siphoviridae,Vendettavirus
784,784,Gordonia~phage~Vivi2,89,RefSeq-85,,,
785,785,Gordonia~phage~Wizard,89,RefSeq-85,Caudovirales,Siphoviridae,Wizardvirus
786,786,Gordonia~phage~Woes,91,RefSeq-85,Caudovirales,Siphoviridae,Woesvirus
787,787,Gordonia~phage~Yeezy,86,RefSeq-85,Caudovirales,Siphoviridae,Baxtervirus
788,788,Gordonia~phage~Yvonnetastic,198,RefSeq-85,,,
789,789,Gordonia~phage~Zirinka,79,RefSeq-85,Caudovirales,Siphoviridae,Nymphadoravirus
790,790,Guinea~pig~Chlamydia~phage,9,RefSeq-85,,Microviridae,Chlamydiamicrovirus
791,791,Haemophilus~phage~Aaphi23,66,RefSeq-85,Caudovirales,Myoviridae,
792,792,Haemophilus~phage~HP1,42,RefSeq-85,Caudovirales,Myoviridae,Hp1virus
793,793,Haemophilus~phage~HP2,37,RefSeq-85,Caudovirales,Myoviridae,Hp1virus
794,794,Haemophilus~phage~SuMu,55,RefSeq-85,Caudovirales,Myoviridae,
795,795,Haloarcula~californiae~icosahedral~virus~1,47,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
796,796,Haloarcula~hispanica~icosahedral~virus~2,43,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
797,797,Haloarcula~hispanica~pleomorphic~virus~1,9,RefSeq-85,,Pleolipoviridae,Alphapleolipovirus
798,798,Haloarcula~hispanica~pleomorphic~virus~2,8,RefSeq-85,,Pleolipoviridae,Alphapleolipovirus
799,799,Haloarcula~hispanica~virus~PH1,49,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
800,800,Haloarcula~hispanica~virus~SH1,56,RefSeq-85,,Sphaerolipoviridae,Alphasphaerolipovirus
801,801,Halocynthia~phage~JM-2012,173,RefSeq-85,Caudovirales,Myoviridae,
802,802,Halogeometricum~pleomorphic~virus~1,16,RefSeq-85,,Pleolipoviridae,Betapleolipovirus
803,803,Halomonas~phage~phiHAP-1,46,RefSeq-85,Caudovirales,Myoviridae,Hapunavirus
804,804,Halorubrum~phage~CGphi46,55,RefSeq-85,,,
805,805,Halorubrum~phage~HF2,114,RefSeq-85,,Myoviridae,
806,806,Halorubrum~pleomorphic~virus~1,10,RefSeq-85,,Pleolipoviridae,Alphapleolipovirus
807,807,Halorubrum~pleomorphic~virus~2,16,RefSeq-85,,Pleolipoviridae,Alphapleolipovirus
808,808,Halorubrum~pleomorphic~virus~3,13,RefSeq-85,,Pleolipoviridae,Betapleolipovirus
809,809,Halorubrum~pleomorphic~virus~6,11,RefSeq-85,,Pleolipoviridae,Alphapleolipovirus
810,810,Halovirus~HCTV-1,160,RefSeq-85,,Siphoviridae,
811,811,Halovirus~HCTV-2,86,RefSeq-85,,,
812,812,Halovirus~HCTV-5,166,RefSeq-85,,Siphoviridae,
813,813,Halovirus~HF1,102,RefSeq-85,,Myoviridae,
814,814,Halovirus~HGTV-1,281,RefSeq-85,,,
815,815,Halovirus~HHTV-1,74,RefSeq-85,,,
816,816,Halovirus~HHTV-2,88,RefSeq-85,,,
817,817,Halovirus~HRTV-4,73,RefSeq-85,,,
818,818,Halovirus~HRTV-5,118,RefSeq-85,,,
819,819,Halovirus~HRTV-7,105,RefSeq-85,,,
820,820,Halovirus~HRTV-8,124,RefSeq-85,,,
821,821,Halovirus~HSTV-1,53,RefSeq-85,,Siphoviridae,
822,822,Halovirus~HSTV-2,103,RefSeq-85,,Myoviridae,
823,823,Halovirus~HVTV-1,173,RefSeq-85,,Siphoviridae,
824,824,Halovirus~VNH-1,7,RefSeq-85,,,
825,825,Hamiltonella~virus~APSE1,54,RefSeq-85,Caudovirales,Podoviridae,
826,826,Helicobacter~phage~1961P,33,RefSeq-85,Caudovirales,Podoviridae,Una961virus
827,827,Helicobacter~phage~KHP30,30,RefSeq-85,Caudovirales,Podoviridae,Una961virus
828,828,Helicobacter~phage~KHP40,32,RefSeq-85,Caudovirales,Podoviridae,Una961virus
829,829,Helicobacter~phage~phiHP33,27,RefSeq-85,Caudovirales,Siphoviridae,
830,830,His~1~virus,35,RefSeq-85,,,Salterprovirus
831,831,His2~virus,35,RefSeq-85,,Pleolipoviridae,Gammapleolipovirus
832,832,Hydrogenobaculum~phage~1,26,RefSeq-85,,,
833,833,Hyperthermophilic~Archaeal~Virus~1,40,RefSeq-85,,,
834,834,Hyperthermophilic~Archaeal~Virus~2,15,RefSeq-85,,,
835,835,Idiomarinaceae~phage~1N2-2,56,RefSeq-85,,,
836,836,Idiomarinaceae~phage~Phi1M2-2,65,RefSeq-85,Caudovirales,Siphoviridae,
837,837,Iodobacteriophage~phiPLPE,84,RefSeq-85,Caudovirales,Myoviridae,
838,838,Klebsiella~phage~0507-KN2-1,154,RefSeq-85,Caudovirales,Ackermannviridae,
839,839,Klebsiella~phage~1513,72,RefSeq-85,Caudovirales,Siphoviridae,Kp36virus
840,840,Klebsiella~phage~F19,51,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
841,841,Klebsiella~phage~JD001,68,RefSeq-85,Caudovirales,Myoviridae,
842,842,Klebsiella~phage~JD18,278,RefSeq-85,Caudovirales,Myoviridae,Jd18virus
843,843,Klebsiella~phage~K11,51,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
844,844,Klebsiella~phage~K5,46,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
845,845,Klebsiella~phage~K64-1,64,RefSeq-85,Caudovirales,Myoviridae,
846,846,Klebsiella~phage~KLPN1,72,RefSeq-85,Caudovirales,Siphoviridae,Kp36virus
847,847,Klebsiella~phage~KP15,258,RefSeq-85,Caudovirales,Myoviridae,Kp15virus
848,848,Klebsiella~phage~KP27,276,RefSeq-85,Caudovirales,Myoviridae,Kp15virus
849,849,Klebsiella~phage~KP32,44,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
850,850,Klebsiella~phage~KP34,57,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
851,851,Klebsiella~phage~KP36,79,RefSeq-85,Caudovirales,Siphoviridae,Kp36virus
852,852,Klebsiella~phage~Kp2,58,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
853,853,Klebsiella~phage~KpV41,55,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
854,854,Klebsiella~phage~KpV475,51,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
855,855,Klebsiella~phage~KpV71,53,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
856,856,Klebsiella~phage~Matisse,280,RefSeq-85,Caudovirales,Myoviridae,Kp15virus
857,857,Klebsiella~phage~NTUH-K2044-K1-1,35,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
858,858,Klebsiella~phage~PKO111,203,RefSeq-85,Caudovirales,Myoviridae,Jd18virus
859,859,Klebsiella~phage~PKP126,78,RefSeq-85,Caudovirales,Siphoviridae,Kp36virus
860,860,Klebsiella~phage~Sushi,76,RefSeq-85,Caudovirales,Siphoviridae,Kp36virus
861,861,Klebsiella~phage~phiKO2,64,RefSeq-85,Caudovirales,Siphoviridae,
862,862,Klebsiella~phage~vB_Kp1,47,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
863,863,Klebsiella~phage~vB_KpnM_KB57,245,RefSeq-85,Caudovirales,Myoviridae,
864,864,Klebsiella~phage~vB_KpnM_KpV477,275,RefSeq-85,,,
865,865,Klebsiella~phage~vB_KpnP_KpV289,51,RefSeq-85,Caudovirales,Podoviridae,Kp32virus
866,866,Klebsiella~phage~vB_KpnP_SU503,54,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
867,867,Klebsiella~phage~vB_KpnP_SU552A,54,RefSeq-85,Caudovirales,Podoviridae,Kp34virus
868,868,Kluyvera~phage~Kvp1,47,RefSeq-85,Caudovirales,Podoviridae,T7virus
869,869,Lactobacillus~phage~A2,62,RefSeq-85,Caudovirales,Siphoviridae,
870,870,Lactobacillus~phage~CL1,62,RefSeq-85,Caudovirales,Siphoviridae,
871,871,Lactobacillus~phage~CL2,60,RefSeq-85,Caudovirales,Siphoviridae,
872,872,Lactobacillus~phage~J-1,63,RefSeq-85,Caudovirales,Siphoviridae,
873,873,Lactobacillus~phage~JCL1032,77,RefSeq-85,Caudovirales,Siphoviridae,
874,874,Lactobacillus~phage~KC5a,61,RefSeq-85,Caudovirales,Myoviridae,
875,875,Lactobacillus~phage~LBR48,86,RefSeq-85,Caudovirales,Myoviridae,
876,876,Lactobacillus~phage~LF1,57,RefSeq-85,Caudovirales,Siphoviridae,
877,877,Lactobacillus~phage~LL-H,51,RefSeq-85,Caudovirales,Siphoviridae,
878,878,Lactobacillus~phage~Lc-Nu,51,RefSeq-85,Caudovirales,Siphoviridae,
879,879,Lactobacillus~phage~Ld17,50,RefSeq-85,Caudovirales,Siphoviridae,C5virus
880,880,Lactobacillus~phage~Ld25A,51,RefSeq-85,Caudovirales,Siphoviridae,C5virus
881,881,Lactobacillus~phage~Ld3,49,RefSeq-85,Caudovirales,Siphoviridae,C5virus
882,882,Lactobacillus~phage~Ldl1,79,RefSeq-85,Caudovirales,Siphoviridae,
883,883,Lactobacillus~phage~LfeInf,126,RefSeq-85,Caudovirales,Myoviridae,
884,884,Lactobacillus~phage~LfeSau,50,RefSeq-85,Caudovirales,Siphoviridae,
885,885,Lactobacillus~phage~Lrm1,54,RefSeq-85,Caudovirales,Siphoviridae,
886,886,Lactobacillus~phage~Lv-1,47,RefSeq-85,Caudovirales,Siphoviridae,
887,887,Lactobacillus~phage~PL-1,59,RefSeq-85,Caudovirales,Siphoviridae,
888,888,Lactobacillus~phage~PLE2,51,RefSeq-85,,,
889,889,Lactobacillus~phage~PLE3,60,RefSeq-85,,,
890,890,Lactobacillus~phage~Sha1,58,RefSeq-85,Caudovirales,Siphoviridae,
891,891,Lactobacillus~phage~iA2,50,RefSeq-85,Caudovirales,Siphoviridae,
892,892,Lactobacillus~phage~iLp1308,50,RefSeq-85,Caudovirales,Siphoviridae,
893,893,Lactobacillus~phage~iLp84,60,RefSeq-85,Caudovirales,Siphoviridae,
894,894,Lactobacillus~phage~phi~jlb1,54,RefSeq-85,Caudovirales,Myoviridae,
895,895,Lactobacillus~phage~phiAQ113,56,RefSeq-85,Caudovirales,Myoviridae,
896,896,Lactobacillus~phage~phiAT3,55,RefSeq-85,Caudovirales,Siphoviridae,
897,897,Lactobacillus~phage~phiJB,46,RefSeq-85,Caudovirales,Siphoviridae,
898,898,Lactobacillus~phage~phiLdb,59,RefSeq-85,Caudovirales,Siphoviridae,C5virus
899,899,Lactobacillus~phage~phiPYB5,46,RefSeq-85,Caudovirales,Siphoviridae,
900,900,Lactobacillus~phage~phiadh,63,RefSeq-85,Caudovirales,Siphoviridae,
901,901,Lactobacillus~phage~phig1e,60,RefSeq-85,Caudovirales,Siphoviridae,
902,902,Lactobacillus~prophage~Lj771,56,RefSeq-85,,,
903,903,Lactobacillus~prophage~Lj928,50,RefSeq-85,Caudovirales,Siphoviridae,
904,904,Lactobacillus~prophage~Lj965,46,RefSeq-85,Caudovirales,Siphoviridae,
905,905,Lactobacillus~virus~ATCC8014,60,RefSeq-85,Caudovirales,Siphoviridae,Phijl1virus
906,906,Lactobacillus~virus~LLKu,51,RefSeq-85,Caudovirales,Siphoviridae,C5virus
907,907,Lactobacillus~virus~LP65,165,RefSeq-85,Caudovirales,Myoviridae,
908,908,Lactobacillus~virus~Lb338-1,199,RefSeq-85,Caudovirales,Myoviridae,
909,909,Lactobacillus~virus~c5,50,RefSeq-85,Caudovirales,Siphoviridae,C5virus
910,910,Lactobacillus~virus~phiJL1,46,RefSeq-85,Caudovirales,Siphoviridae,Phijl1virus
911,911,Lactoccocus~phage~WP-2,24,RefSeq-85,Caudovirales,Podoviridae,
912,912,Lactococcus~phage~1358,43,RefSeq-85,Caudovirales,Siphoviridae,
913,913,Lactococcus~phage~1706,76,RefSeq-85,Caudovirales,Siphoviridae,
914,914,Lactococcus~phage~28201,51,RefSeq-85,,,
915,915,Lactococcus~phage~340,58,RefSeq-85,Caudovirales,Siphoviridae,
916,916,Lactococcus~phage~50101,51,RefSeq-85,,,
917,917,Lactococcus~phage~63301,48,RefSeq-85,,,
918,918,Lactococcus~phage~949,154,RefSeq-85,Caudovirales,Siphoviridae,
919,919,Lactococcus~phage~98201,52,RefSeq-85,,,
920,920,Lactococcus~phage~BK5-T,63,RefSeq-85,Caudovirales,Siphoviridae,
921,921,Lactococcus~phage~BM13,55,RefSeq-85,Caudovirales,Siphoviridae,
922,922,Lactococcus~phage~D4410,40,RefSeq-85,,,
923,923,Lactococcus~phage~D4412,40,RefSeq-85,,,
924,924,Lactococcus~phage~GE1,48,RefSeq-85,Caudovirales,Siphoviridae,
925,925,Lactococcus~phage~M5938,38,RefSeq-85,,,
926,926,Lactococcus~phage~M6162,38,RefSeq-85,,,
927,927,Lactococcus~phage~M6165,37,RefSeq-85,,,
928,928,Lactococcus~phage~P078,78,RefSeq-85,Caudovirales,Siphoviridae,
929,929,Lactococcus~phage~P087,88,RefSeq-85,Caudovirales,Siphoviridae,
930,930,Lactococcus~phage~P092,76,RefSeq-85,Caudovirales,Siphoviridae,
931,931,Lactococcus~phage~P118,80,RefSeq-85,Caudovirales,Siphoviridae,
932,932,Lactococcus~phage~P162,82,RefSeq-85,Caudovirales,Siphoviridae,
933,933,Lactococcus~phage~P335~sensu~lato,49,RefSeq-85,Caudovirales,Siphoviridae,
934,934,Lactococcus~phage~P680,49,RefSeq-85,Caudovirales,Siphoviridae,
935,935,Lactococcus~phage~PLgT-1,66,RefSeq-85,,,
936,936,Lactococcus~phage~Q54,47,RefSeq-85,Caudovirales,Siphoviridae,
937,937,Lactococcus~phage~TP901-1,56,RefSeq-85,Caudovirales,Siphoviridae,
938,938,Lactococcus~phage~Tuc2009,56,RefSeq-85,Caudovirales,Siphoviridae,
939,939,Lactococcus~phage~WRP3,178,RefSeq-85,Caudovirales,Siphoviridae,
940,940,Lactococcus~phage~asccphi28,28,RefSeq-85,Caudovirales,Podoviridae,
941,941,Lactococcus~phage~bIL285,62,RefSeq-85,Caudovirales,Siphoviridae,
942,942,Lactococcus~phage~bIL286,61,RefSeq-85,Caudovirales,Siphoviridae,
943,943,Lactococcus~phage~bIL309,56,RefSeq-85,Caudovirales,Siphoviridae,
944,944,Lactococcus~phage~bIL310,29,RefSeq-85,Caudovirales,Siphoviridae,
945,945,Lactococcus~phage~bIL311,22,RefSeq-85,Caudovirales,Siphoviridae,
946,946,Lactococcus~phage~bIL312,27,RefSeq-85,Caudovirales,Siphoviridae,
947,947,Lactococcus~phage~jm2,59,RefSeq-85,Caudovirales,Siphoviridae,
948,948,Lactococcus~phage~jm3,52,RefSeq-85,Caudovirales,Siphoviridae,
949,949,Lactococcus~phage~phi7,57,RefSeq-85,Caudovirales,Siphoviridae,
950,950,Lactococcus~phage~phiL47,189,RefSeq-85,Caudovirales,Siphoviridae,
951,951,Lactococcus~phage~phiLC3,51,RefSeq-85,Caudovirales,Siphoviridae,
952,952,Lactococcus~phage~r1t,50,RefSeq-85,Caudovirales,Siphoviridae,
953,953,Lactococcus~phage~ul36,61,RefSeq-85,Caudovirales,Siphoviridae,
